Time V mNa hNa jNa Nai Ki Cai CaNSR xKs LTRPNCa HTRPNCa C0Kv43 C1Kv43 C2Kv43 C3Kv43 OKv43 CI0Kv43 CI1Kv43 CI2Kv43 CI3Kv43 OIKv43 C0Kv14 C1Kv14 C2Kv14 C3Kv14 OKv14 CI0Kv14 CI1Kv14 CI2Kv14 CI3Kv14 OIKv14 CaToT C1Herg C2Herg C3Herg OHerg IHerg
0.011 64.786255 0.99997224 0.060176347 0.86907506 10.216236 132.14198 0.00015094027 0.92333441 0.0009733883 0.13235173 0.98338037 0.049736044 0.22003796 0.36464402 0.26624621 0.073220158 5.1447389e-07 0.00017662714 0.003267328 0.0012879181 0.020698689 0.0023903371 0.031712451 0.1577649 0.34871075 0.28304107 8.1885593e-07 1.1058757e-06 0.053158796 0.057564472 0.065526516 7.3939309 0.86381586 0.13361886 0.0024168856 0.00013576867 1.2630628e-05 
0.012 48.527633 0.99997024 2.21822e-05 0.63808343 10.21611 132.14103 0.00015269662 0.92336637 0.0044741862 0.1323277 0.98336553 3.6147813e-07 5.7228371e-05 0.0033346335 0.080866622 0.78794742 7.114346e-07 -9.4424056e-07 8.5965719e-06 0.00037904898 0.12672178 2.0264066e-08 6.417322e-06 0.00076043921 0.03993706 0.70917119 0 2.1640319e-08 0.0038886574 0.012433435 0.23367399 7.3949893 0.45679552 0.50233064 0.032758775 0.0061107669 0.0020042939 
0.013 30.908534 0.99981804 1.0399289e-08 0.46946529 10.215984 132.13993 0.00015488648 0.92341168 0.0065437968 0.13236881 0.98335146 1.7774126e-08 5.4628504e-06 0.00065971412 0.035038585 0.73750088 -6.318922e-07 8.4912229e-07 1.9226605e-06 0.00091708956 0.22519158 0 5.7400665e-09 7.1610982e-06 0.0038358031 0.660062 0 1.1355832e-08 0.00039785223 0.0018631453 0.33370525 7.3968209 0.3430753 0.57572486 0.058656996 0.013346222 0.0091966273 
0.014 18.502418 0.99932291 8.1016379e-09 0.33712239 10.215867 132.13903 0.00015966862 0.92347878 0.007781066 0.1325359 0.98333749 1.5464153e-07 2.7911038e-05 0.0018570949 0.054400248 0.62237865 7.7168099e-07 -1.0179194e-06 1.0494268e-05 0.0030658952 0.31757526 0 1.8429465e-09 3.0302606e-06 0.0021905323 0.57851793 0 -2.047084e-08 4.3189729e-05 0.00026818746 0.41884837 7.4002485 0.3175513 0.5711378 0.07350735 0.01746099 0.020342566 
0.015 11.499464 0.99855218 2.5221897e-08 0.25038111 10.215773 132.13841 0.0001662735 0.92355039 0.0085092132 0.13287908 0.98332688 1.2141238e-06 0.00012424155 0.0047302648 0.079011109 0.51926325 1.4596754e-10 9.3722527e-08 3.5232434e-05 0.0063365844 0.38981347 0 1.075444e-08 9.3434953e-06 0.0036094436 0.51109296 2.5620208e-09 -1.8011444e-06 8.5112368e-06 8.2676556e-05 0.48507008 7.4040166 0.33207085 0.53964292 0.078221236 0.018855458 0.031209533 
0.016 7.0237375 0.9976321 5.3303654e-08 0.18579762 10.215684 132.13792 0.00017481336 0.92360515 0.0090797302 0.13346778 0.98331873 5.3211705e-06 0.00035885633 0.0089863787 0.098381915 0.42772376 7.3555277e-10 3.2605312e-07 8.3471754e-05 0.010284904 0.45349053 0 3.9658983e-08 2.1552034e-05 0.0051542897 0.45077665 -1.9214876e-09 8.8209289e-07 1.4811648e-07 7.8701401e-05 0.54383896 7.4080721 0.36353058 0.49779795 0.0776678 0.01909794 0.041905724 
0.017 3.8939672 0.99665056 9.1161288e-08 0.13686609 10.215596 132.13752 0.00018515887 0.92357113 0.0095754645 0.13438256 0.98331365 1.5453176e-05 0.0007597453 0.013843052 0.10988512 0.34935959 2.3403055e-09 7.9960443e-07 0.0001549369 0.014573975 0.51072278 0 9.7455333e-08 3.7608394e-05 0.0063897587 0.39619867 1.1417316e-09 -3.9111931e-07 6.1192126e-07 0.00011078814 0.59713408 7.4120081 0.40299984 0.45213508 0.073954995 0.018732968 0.052177115 
0.018 1.446278 0.99560035 1.3953345e-07 0.10058803 10.215511 132.13721 0.0001977959 0.92335207 0.01001708 0.13566918 0.98331249 3.3739464e-05 0.0012983912 0.018485493 0.11428581 0.28494828 5.5494876e-09 1.5575862e-06 0.00024560933 0.019106114 0.56091046 2.3232436e-10 1.858777e-07 5.5410901e-05 0.0072719613 0.34781443 -3.9091213e-10 1.0626328e-07 -3.2163955e-08 0.00015310614 0.64457605 7.4154562 0.44447079 0.4072115 0.068653912 0.018075419 0.06158838 
0.019 0.15659091 0.99487023 1.8030296e-07 0.073859017 10.215427 132.13695 0.00021426049 0.92282501 0.01042443 0.13742685 0.9833165 5.7563613e-05 0.0018486829 0.021927052 0.11254624 0.23433628 9.8726769e-09 2.4500722e-06 0.00033545477 0.022764341 0.60549739 4.0081963e-10 2.7073123e-07 6.8236603e-05 0.0075685778 0.30549796 1.3262811e-10 -3.2491216e-08 1.1965327e-07 0.00019260698 0.68654348 7.4189967 0.48292888 0.36687589 0.062805198 0.017341474 0.070048555 
0.02 -0.39651332 0.99456142 1.9832451e-07 0.054648744 10.215347 132.13675 0.00023429144 0.92191606 0.010807713 0.13970579 0.98332678 7.6186424e-05 0.0021900176 0.023210912 0.10610951 0.19772046 1.3155675e-08 3.0765624e-06 0.00039208107 0.025039892 0.64457332 4.7325234e-10 2.9744232e-07 6.9747437e-05 0.0071943421 0.26975542 0 0 1.0298518e-07 0.00021789522 0.72263342 7.4225734 0.51318997 0.33529437 0.057372039 0.016657702 0.077485919 
0.021 -1.0898454 0.99412995 2.2304732e-07 0.040577547 10.21527 132.13658 0.00025706317 0.92054182 0.011174949 0.1425939 0.98334429 8.9963537e-05 0.0023883608 0.023351344 0.098280753 0.16906702 1.6150713e-08 3.6024214e-06 0.00044002876 0.027542384 0.67815199 5.3782933e-10 3.1752625e-07 6.9938205e-05 0.0067758569 0.23861076 0 1.0055063e-10 1.2179901e-07 0.00024201854 0.75417221 7.4256016 0.53743984 0.30968456 0.052715487 0.016058457 0.084101665 
0.022 -1.7367756 0.99370854 2.4776295e-07 0.029992349 10.215193 132.13644 0.00028193 0.91858751 0.011536984 0.14623455 0.98337048 0.00010013089 0.0024940508 0.022859357 0.090050683 0.14523846 1.892698e-08 4.0791697e-06 0.00048365966 0.029937804 0.70814722 5.9523615e-10 3.321608e-07 6.9150559e-05 0.0063319548 0.21072524 0 1.2894546e-10 1.4216565e-07 0.00026562607 0.78247878 7.4283834 0.55747444 0.28810869 0.048712124 0.015559188 0.090145564 
0.023 -2.1697107 0.99334434 2.747469e-07 0.022011827 10.215116 132.13631 0.00030706376 0.9160002 0.011894708 0.15066766 0.98340613 0.00010953884 0.0025692365 0.022162186 0.082058313 0.12451847 2.2000431e-08 4.6299001e-06 0.00053365638 0.032186097 0.73517331 6.7223076e-10 3.5252224e-07 6.8967807e-05 0.0059345843 0.1855441 0 0 1.6721172e-07 0.00029189788 0.80803115 7.4311206 0.57476894 0.26911117 0.045248998 0.015178688 0.095692202 
0.024 -2.1798019 0.99332944 2.7675425e-07 0.016370137 10.215044 132.13622 0.00033055768 0.91301478 0.012234048 0.15552408 0.98344845 0.00011017756 0.0024979068 0.020812312 0.074312831 0.10887501 2.2718936e-08 4.7915292e-06 0.0005497561 0.033162724 0.75898994 6.3179775e-10 3.2663949e-07 6.2995633e-05 0.0053426939 0.16455954 0 1.0542419e-10 1.8054575e-07 0.00030407109 0.82960141 7.4338167 0.58671278 0.25533663 0.042482733 0.014890383 0.10057747 
0.025 -2.1834677 0.99333848 2.7539067e-07 0.012202058 10.214973 132.13613 0.00035213977 0.9096161 0.012570396 0.16085026 0.98349784 0.00010459123 0.002331513 0.019088982 0.066903176 0.096293663 2.2227187e-08 4.7380049e-06 0.00055011797 0.033918646 0.78012001 5.5910794e-10 2.8936517e-07 5.5864506e-05 0.0047426293 0.14622197 0 1.0965184e-10 1.8620362e-07 0.00031068717 0.8485396 7.4362852 0.59469117 0.24522757 0.040309048 0.014669977 0.10510223 
0.026 -2.3588362 0.99319958 2.8350715e-07 0.0091224444 10.214904 132.13606 0.00037251477 0.90586316 0.012900575 0.16653212 0.98355337 9.8217949e-05 0.0021595686 0.01743492 0.060230702 0.085469912 2.2081269e-08 4.7376648e-06 0.00055667244 0.035066893 0.79829382 5.1918969e-10 2.6580172e-07 5.0762994e-05 0.0042635421 0.13008784 0 1.1549649e-10 1.9323266e-07 0.00032017338 0.86514845 7.4384375 0.60037609 0.2371662 0.038636302 0.01453625 0.10928516 
0.027 -2.5597187 0.99303796 2.9499126e-07 0.0067555908 10.214834 132.136 0.00039263416 0.90160508 0.013237378 0.17277629 0.98361735 9.2316153e-05 0.0019991901 0.015894884 0.054066208 0.075541725 2.2268951e-08 4.8108666e-06 0.0005697169 0.036282916 0.81486367 4.9620221e-10 2.4926604e-07 4.6713731e-05 0.0038503262 0.11531595 0 1.2403574e-10 2.0340452e-07 0.00033199446 0.88032579 7.4405115 0.60482642 0.23009669 0.037257063 0.014483385 0.11333644 
0.028 -2.7991935 0.99287565 3.0437099e-07 0.0050212482 10.214767 132.13594 0.00041180059 0.8970608 0.013566534 0.17925503 0.98368674 8.6510082e-05 0.0018477409 0.014487616 0.048585928 0.06692867 2.241811e-08 4.8724967e-06 0.00058064669 0.037385371 0.82940809 4.6910114e-10 2.3199888e-07 4.2804342e-05 0.0034735558 0.10243822 0 1.3260408e-10 2.1319164e-07 0.00034230473 0.89357389 7.4423816 0.60800483 0.22423688 0.036136513 0.014492512 0.11712926 
0.029 -2.9091314 0.99276989 3.1326132e-07 0.0036864483 10.214697 132.1359 0.00043106857 0.89199792 0.013904953 0.18627985 0.98376522 8.1060596e-05 0.0017053782 0.013169765 0.043489321 0.058986243 2.2644496e-08 4.9676138e-06 0.00059440613 0.038327773 0.84295653 4.4497071e-10 2.162379e-07 3.9203654e-05 0.0031262566 0.090605552 0 1.4113304e-10 2.2429032e-07 0.00035313986 0.90574663 7.4443199 0.61051852 0.21888148 0.035153643 0.01455689 0.12088947 
0.03 -2.4806275 0.99310574 2.9391625e-07 0.0027227287 10.21463 132.13586 0.00045013203 0.88675522 0.014238067 0.19339464 0.98384798 7.2752419e-05 0.0015287084 0.011788024 0.038837768 0.052579214 2.0942759e-08 4.7614147e-06 0.00058000802 0.037680583 0.85624362 3.6846311e-10 1.8227226e-07 3.363733e-05 0.0027300724 0.080494736 0 1.3557559e-10 2.2390146e-07 0.00035113392 0.91626124 7.4465597 0.61105256 0.21548053 0.034355231 0.014608959 0.12450272 
0.031 -2.2843732 0.99324052 2.8380518e-07 0.002047076 10.214567 132.13583 0.00046661666 0.88161514 0.014555072 0.20025181 0.98393077 6.3497218e-05 0.0013462013 0.010471446 0.034792896 0.047513572 1.9072341e-08 4.4525303e-06 0.00055842678 0.037582301 0.86698265 3.0183852e-10 1.5265518e-07 2.8802639e-05 0.0023902398 0.072087276 0 1.2899816e-10 2.1684488e-07 0.00034671446 0.92501782 7.4484433 0.60984579 0.21380154 0.033835241 0.014650731 0.12786671 
0.032 -1.826054 0.99358147 2.6256369e-07 0.0015256089 10.214503 132.13581 0.00048368486 0.87614146 0.014886038 0.20743374 0.98402066 5.3679773e-05 0.0011579426 0.0091635494 0.030970858 0.043031324 1.6692435e-08 4.070269e-06 0.00052867433 0.036692571 0.87771278 2.3513717e-10 1.2306903e-07 2.4030853e-05 0.0020639042 0.064422504 0 1.1753227e-10 2.061814e-07 0.00033802766 0.93302243 7.4504708 0.60714614 0.21334656 0.033497668 0.014693924 0.1313157 
0.033 -1.3518025 0.99391475 2.4087875e-07 0.0011449467 10.214441 132.13579 0.00049941947 0.87065722 0.015215704 0.21452667 0.98411259 4.4122665e-05 0.00097708969 0.0079375677 0.027540513 0.039290037 1.4194735e-08 3.6252841e-06 0.00049183826 0.035717337 0.88731332 1.7678762e-10 9.6700581e-08 1.9733717e-05 0.0017713939 0.057804913 0 1.0482256e-10 1.9150338e-07 0.00032590588 0.93994899 7.4524406 0.60295689 0.21424279 0.033366817 0.014729915 0.13470359 
0.034 -1.0596513 0.99410102 2.2932129e-07 0.00085217639 10.214378 132.13577 0.00051496993 0.86489435 0.015559245 0.22187209 0.98421114 3.6093322e-05 0.00082055464 0.0068444961 0.024399569 0.035756818 1.2397593e-08 3.2921978e-06 0.00046539499 0.035264158 0.89572507 1.3940249e-10 7.8680183e-08 1.6569266e-05 0.0015351631 0.051739036 0 1.1796531e-10 1.7963896e-07 0.00031794719 0.94626225 7.4542676 0.5980136 0.21559849 0.03340824 0.014801096 0.13817858 
0.035 -0.56318952 0.99442227 2.1023872e-07 0.00062872243 10.214312 132.13576 0.00053121812 0.85884954 0.015918847 0.22946801 0.98431665 2.9021016e-05 0.00068002961 0.0058478154 0.021501465 0.032495745 1.0548058e-08 2.9454169e-06 0.00043436024 0.034219575 0.9041045 1.0541364e-10 6.2022835e-08 1.3616618e-05 0.0013153322 0.046229616 0 1.338593e-10 1.6725011e-07 0.0003069459 0.95200548 7.4562427 0.59212842 0.21763786 0.033556019 0.014890274 0.14178742 
0.036 -0.25542967 0.99460032 1.99944e-07 0.00046919987 10.21425 132.13574 0.00054612195 0.85294658 0.016269464 0.23678936 0.98442185 2.3637167e-05 0.00056928683 0.0050331711 0.019041057 0.029597993 9.2618245e-09 2.6879461e-06 0.00041184122 0.033699685 0.91093609 0 5.0701116e-08 1.1494501e-05 0.0011450452 0.041527039 0 1.0235522e-10 1.5738897e-07 0.00029926857 0.95688817 7.4580015 0.58615997 0.21976361 0.033789823 0.015004666 0.14528193 
0.037 0.39717543 0.99497219 1.7994135e-07 0.00035168102 10.214189 132.13574 0.00056061135 0.8470794 0.016621959 0.2439874 0.9845287 1.8929635e-05 0.00047114964 0.0043057368 0.01684365 0.027071062 7.7674262e-09 2.3829325e-06 0.00038114028 0.032330541 0.91789086 0 3.9591351e-08 9.414899e-06 0.00098383546 0.037434562 0 0 1.4541012e-07 0.00028672159 0.9611565 7.4599176 0.5794745 0.22254457 0.034069451 0.015111363 0.14880012 
0.038 1.0394455 0.9953202 1.6054733e-07 0.00026105404 10.214125 132.13573 0.00057542472 0.84098394 0.016997005 0.25139277 0.98464222 1.4578262e-05 0.0003787651 0.0036139439 0.01476777 0.024791179 6.2541979e-09 2.034579e-06 0.00034433347 0.03096542 0.92443743 0 2.9620269e-08 7.4885974e-06 0.00083222206 0.033693712 0 1.4596976e-10 1.2986212e-07 0.00027082166 0.96506682 7.4618752 0.57135139 0.22642868 0.034462246 0.015204081 0.1525536 
0.039 1.46058 0.99553922 1.4883701e-07 0.00019432511 10.214063 132.13573 0.00058912894 0.8349247 0.017376093 0.25868621 0.98475766 1.132151e-05 0.00030624037 0.0030432109 0.012964791 0.022678399 5.2505436e-09 1.7915945e-06 0.0003185326 0.030113096 0.92987807 0 2.3236901e-08 6.1521272e-06 0.00071618935 0.030398107 0 0 1.1801809e-07 0.00025956888 0.96849106 7.4636294 0.56302928 0.23035669 0.034949694 0.015324349 0.15633998 
0.04 2.0060638 0.99579568 1.357426e-07 0.00014117244 10.213995 132.13573 0.00060211639 0.82838683 0.017794931 0.26647281 0.98488529 8.6331274e-06 0.00024369607 0.0025283751 0.011257163 0.020565985 4.3580281e-09 1.568529e-06 0.00029293538 0.029060274 0.93535683 0 1.7902738e-08 4.9832414e-06 0.00061009325 0.027251255 0 1.0921115e-10 1.0710624e-07 0.00024780166 0.97175696 7.4654981 0.5537731 0.23469821 0.035517546 0.015478128 0.16053301 
0.041 2.4807278 0.9960072 1.256181e-07 0.00010557773 10.213933 132.13573 0.00061324245 0.82248854 0.018183601 0.27342022 0.98500327 6.761169e-06 0.00019825026 0.0021374784 0.0098988974 0.018797702 3.7025824e-09 1.3961531e-06 0.00027239452 0.028173688 0.93982889 0 1.4232493e-08 4.1382664e-06 0.00052938043 0.024724619 0 0 9.8316991e-08 0.00023793466 0.97437503 7.4671968 0.54517576 0.23869006 0.036058724 0.01563443 0.16444103 
0.042 3.2524468 0.99632679 1.1109643e-07 7.6417568e-05 10.213864 132.13573 0.00062568885 0.81599865 0.018627069 0.28099288 0.98513647 5.0752283e-06 0.00015589682 0.0017615304 0.0085559905 0.017030708 2.9792253e-09 1.1976228e-06 0.00024647912 0.02673648 0.9448221 0 1.065763e-08 3.2933384e-06 0.00044787451 0.022250459 0 0 8.8120756e-08 0.00022458613 0.97694491 7.4692271 0.53505555 0.24353164 0.03667367 0.015805742 0.1689334 
0.043 3.6937691 0.99651504 1.0166021e-07 5.6549535e-05 10.2138 132.13573 0.00063705156 0.81002691 0.019051934 0.28790463 0.98526232 3.8418725e-06 0.00012359182 0.001463107 0.007452755 0.015545797 2.4500314e-09 1.0336649e-06 0.00022446153 0.025844522 0.94865635 0 8.1765649e-09 2.6718803e-06 0.00038438681 0.020220967 0 1.1181365e-09 7.781571e-08 0.00021288594 0.97905022 7.470883 0.52508016 0.24839195 0.037297265 0.015966602 0.17326402 
0.044 3.8422267 0.99656912 9.8981843e-08 4.2235955e-05 10.213737 132.13574 0.00064737545 0.80430186 0.019467624 0.29446538 0.9853858 3.0594134e-06 0.00010168457 0.0012444474 0.0065621069 0.014149753 2.2197174e-09 9.6082646e-07 0.00021531592 0.025625138 0.951413 0 6.9156132e-09 2.3169868e-06 0.00034188359 0.018466922 0 0 7.3979884e-08 0.00020806663 0.98085195 7.4722397 0.51621819 0.25218557 0.037909449 0.016173954 0.17751284 
