Time V mNa hNa jNa Nai Ki Cai CaNSR xKs LTRPNCa HTRPNCa C0Kv43 C1Kv43 C2Kv43 C3Kv43 OKv43 CI0Kv43 CI1Kv43 CI2Kv43 CI3Kv43 OIKv43 C0Kv14 C1Kv14 C2Kv14 C3Kv14 OKv14 CI0Kv14 CI1Kv14 CI2Kv14 CI3Kv14 OIKv14 CaToT C1Herg C2Herg C3Herg OHerg IHerg
0.012 48.586552 0.99997042 2.233136e-05 0.63825226 10.216109 132.14103 0.00015259943 0.92375272 0.0044744097 0.13227644 0.98336493 3.597282e-07 5.7025317e-05 0.0033270174 0.080784734 0.78811821 7.1058638e-07 -9.4315823e-07 8.5667294e-06 0.00037777878 0.126642 2.0396695e-08 6.4487583e-06 0.00076290077 0.040000138 0.70917796 0 2.1554761e-08 0.0038943856 0.0124476 0.23358175 7.3960089 0.45664126 0.50250085 0.032743991 0.0061110752 0.0020028285 
0.013 31.069019 0.99982103 1.0653851e-08 0.47003957 10.215983 132.13994 0.00015485413 0.92380972 0.0065455401 0.13231723 0.98335087 1.7325483e-08 5.3550985e-06 0.00065118739 0.03482275 0.7380901 -6.3335102e-07 8.510397e-07 1.8855441e-06 0.00090529437 0.22483866 0 5.8012375e-09 7.2133891e-06 0.0038519252 0.66036845 0 1.1262395e-08 0.00040055896 0.0018741566 0.3333689 7.3978952 0.34273877 0.57613528 0.058597704 0.013350875 0.0091773706 
0.014 18.591187 0.99933031 7.9431732e-09 0.33853825 10.215868 132.13903 0.00015966505 0.92388684 0.0077799209 0.13248511 0.98333703 1.4796759e-07 2.6986025e-05 0.0018174426 0.053893239 0.62404868 6.3311368e-07 -8.3288099e-07 1.0175163e-05 0.0030297037 0.31648929 0 1.7869252e-09 2.9715897e-06 0.0021713414 0.57952023 0 -6.3132533e-09 4.4242562e-05 0.00027363149 0.41785881 7.4012021 0.31690884 0.57196115 0.073435699 0.017459404 0.020234903 
0.015 11.603037 0.99856759 2.4862445e-08 0.25065334 10.215772 132.1384 0.00016681273 0.92396157 0.0085184363 0.13284085 0.98332637 1.1941272e-06 0.00012273854 0.0046938032 0.078749308 0.51982385 1.4352443e-10 9.2356941e-08 3.4867453e-05 0.0062883844 0.38960123 0 1.0512184e-08 9.226563e-06 0.0035877345 0.51133985 1.3990465e-09 -9.9384404e-07 7.6832411e-06 8.261153e-05 0.4848451 7.4051616 0.33137846 0.54024561 0.078264436 0.018880994 0.031230501 
0.016 7.0564949 0.9976369 5.3329009e-08 0.18483397 10.215681 132.13791 0.00017606954 0.92400482 0.0091008099 0.13347508 0.98331836 5.395696e-06 0.00036235796 0.0090357857 0.098497068 0.42644551 7.4466407e-10 3.298328e-07 8.4141418e-05 0.01029963 0.45458525 0 4.0002741e-08 2.1666932e-05 0.005162712 0.44980403 -2.5344193e-09 1.1682401e-06 -1.9018578e-07 7.8857946e-05 0.54480294 7.4093672 0.36359287 0.49744384 0.077678186 0.019120827 0.042164278 
0.017 4.2819203 0.996781 8.6401929e-08 0.13567946 10.215593 132.13751 0.00018800624 0.92394081 0.0096060254 0.1344674 0.9833139 1.509525e-05 0.00074626338 0.013670894 0.10907245 0.34874003 2.2370056e-09 7.7684423e-07 0.00015166174 0.014254593 0.5126637 0 9.1665091e-08 3.6061491e-05 0.0062480989 0.39493777 3.1573692e-09 -1.1165415e-06 1.3674107e-06 0.0001088103 0.59854014 7.413703 0.40251678 0.45226473 0.073874387 0.018764923 0.052579183 
0.018 2.2058621 0.99594949 1.2320896e-07 0.099469266 10.215506 132.13719 0.0002024879 0.92366093 0.010063509 0.13589884 0.98331413 3.0246123e-05 0.0011982465 0.017558871 0.11170144 0.28678046 4.7699281e-09 1.3945116e-06 0.00022717794 0.018158793 0.56365883 1.5606896e-10 1.5494219e-07 4.9060935e-05 0.006832845 0.34672045 -2.5872893e-09 7.5328318e-07 -7.2175294e-07 0.00014466727 0.64612402 7.4175834 0.44131312 0.40975164 0.068639105 0.018138014 0.062158125 
0.019 0.67114187 0.99517634 1.6292078e-07 0.07247086 10.21542 132.13692 0.0002192931 0.92305008 0.010493682 0.13786706 0.98332003 4.9980463e-05 0.001666257 0.020516035 0.1093431 0.23643224 8.3686161e-09 2.1583531e-06 0.00030805348 0.021924718 0.60907291 3.1455871e-10 2.2564204e-07 6.0299182e-05 0.0070927718 0.30368334 3.1036065e-09 -7.7903364e-07 8.9736254e-07 0.00018217959 0.68885228 7.4212031 0.47810678 0.37059086 0.062947398 0.017410446 0.070944516 
0.02 -0.29229912 0.99462515 1.9414292e-07 0.052833879 10.215337 132.13671 0.00023873604 0.92202277 0.010899695 0.14040514 0.98333253 6.9439931e-05 0.0020407472 0.022118856 0.10348089 0.19722461 1.2121867e-08 2.8876296e-06 0.00037774692 0.024966256 0.64903402 4.3092308e-10 2.7624781e-07 6.6094499e-05 0.0069570421 0.26631672 -6.7810343e-10 1.5583779e-07 -6.6056705e-08 0.00021461797 0.72631638 7.4246305 0.50970306 0.33729512 0.057504113 0.016716292 0.078781419 
0.021 -0.85950952 0.99425321 2.1698415e-07 0.038337167 10.215253 132.13653 0.00026017118 0.92048757 0.011296901 0.14361607 0.98335279 8.4572768e-05 0.0022702809 0.022448298 0.095574937 0.16627835 1.5287662e-08 3.4741793e-06 0.00043135996 0.027399409 0.68482477 5.0234789e-10 3.0005542e-07 6.6848733e-05 0.0065511151 0.23333791 7.3528707e-10 -1.5933795e-07 2.8818104e-07 0.00024102482 0.75967389 7.427931 0.53570494 0.30970187 0.052596679 0.016098523 0.085897992 
